date,EUR,USD,GBP
2000.01,4.1587,4.13965757515429,6.689239182885635
2000.02,4.0993,4.221730175077241,6.8094684385382065
2000.03,4.0148,4.153098169028654,6.5569165441776915
2000.04,3.9632,4.148644404898985,6.621888053467001
2000.05,4.0607,4.469675288937809,7.008457024508111
2000.06,4.0707,4.363022508038585,6.523557692307693
2000.07,4.1835,4.377877773126832,6.616321366439982
2000.08,4.0352,4.355785837651123,6.537913156189242
2000.09,3.915,4.39788811503033,6.381418092909535
2000.10,3.9825,4.543639475185397,6.6742081447963795
2000.11,3.9482,4.615618424129062,6.678281461434371
2000.12,3.9028,4.468002289639381,6.403281378178835
2001.01,3.8498,4.1373455131649655,6.168562730331678
2001.02,3.8097,4.050287050818627,5.979752001255689
2001.03,3.7293,4.023411371237458,5.834324155193992
2001.04,3.6062,4.083106884057971,5.823966408268734
2001.05,3.5254,3.9718341595313205,5.690718321226795
2001.06,3.3781,3.984548242510026,5.650886584141853
2001.07,3.3696,3.9735849056603776,5.587133145415354
2001.08,3.7528,4.256323012362482,6.096166341780377
2001.09,3.8712,4.227123826162918,6.159427207637232
2001.10,3.8535,4.223013698630137,6.241496598639456
2001.11,3.7113,4.0796966032758055,5.980180470512407
2001.12,3.6255,4.074511126095752,5.811958961205515
2002.01,3.4953,3.9660728469306705,5.744124897288414
2002.02,3.585,4.153151065801668,5.877049180327869
2002.03,3.6532,4.209240695932711,5.985908569555956
2002.04,3.5902,4.115314076111876,5.856769983686786
2002.05,3.6037,4.0005550621669625,5.823691014867485
2002.06,3.7783,4.025034622350059,5.898985167837628
2002.07,4.0072,4.042368606879855,6.194465914360798
2002.08,4.092,4.192622950819672,6.522154925087663
2002.09,4.072,4.141157327367029,6.410579345088162
2002.10,4.0811,4.138626914106075,6.501672773617971
2002.11,3.9932,4.0036093843994385,6.27072864321608
2002.12,3.986,4.015311775964541,6.232994526974199
2003.01,4.021,3.8342710021931916,6.1813989239046885
2003.02,4.1345,3.822577662721894,6.305475064816227
2003.03,4.2148,3.9091077722129475,6.1601870798012275
2003.04,4.4298,4.0673950968689745,6.412565141864506
2003.05,4.268,3.8343365375977,6.12338593974175
2003.06,4.4072,3.7279648113686346,6.124513618677042
2003.07,4.4239,3.8325392012475086,6.3557215717261695
2003.08,4.4,3.9394753335124006,6.320022981901753
2003.09,4.3589,3.9752849977200184,6.243947858472998
2003.10,4.571,3.9165452831805325,6.486448133957712
2003.11,4.7002,4.0442264670452595,6.848608480256447
2003.12,4.6486,3.8677094600216324,6.674228284278535
2004.01,4.7019,3.722802850356295,6.671254256526675
2004.02,4.7749,3.855700904392765,6.974729769208296
2004.03,4.8944,3.920538289009933,7.323657040251384
2004.04,4.7503,3.8557629870129873,7.1261626162616265
2004.05,4.8108,4.026784966937306,7.1408638860026725
2004.06,4.6474,3.7996893140381,6.9801742264944435
2004.07,4.5005,3.698635765943458,6.716161766900462
2004.08,4.3916,3.6478112800066453,6.628329937363219
2004.09,4.4399,3.648833004602235,6.550940612320177
2004.10,4.3634,3.515185692419238,6.31507344959838
2004.11,4.3154,3.3851584562284285,6.202069560218455
2004.12,4.1786,3.143222506393862,6.042368592292676
2005.01,4.0845,2.9986785111225314,5.793206155591803
2005.02,4.0501,3.10900437552775,5.8480976102808455
2005.03,3.8763,2.933035714285714,5.634976013955518
2005.04,4.0876,3.154255729608766,5.952960023301537
2005.05,4.2715,3.296673612718993,6.304797047970479
2005.06,4.1622,3.403827281648675,6.162114146124806
2005.07,4.0233,3.32861752295855,5.925331369661266
2005.08,4.058,3.3210573696701857,5.8692507954874165
2005.09,3.9821,3.214481756538586,5.827321284846711
2005.10,3.9185,3.254027570171068,5.7460224356624385
2005.11,3.9745,3.3098767488341103,5.853460972017673
2005.12,3.91,3.329076202639421,5.751691674021772
2006.01,3.86,3.272018309739764,5.632569677513497
2006.02,3.8151,3.1550611974859413,5.605495151337056
2006.03,3.7748,3.157771457252802,5.54628269174258
2006.04,3.9425,3.2571877065432915,5.661257897759908
2006.05,3.8747,3.0906117891042513,5.581532699510227
2006.06,3.9383,3.0922581658291457,5.751862129399737
2006.07,4.0546,3.1893337528514114,5.858401965033954
2006.08,3.9301,3.080257073438357,5.748281409975135
2006.09,3.9685,3.0962783802761957,5.898483947681332
2006.10,3.9713,3.1368878357030012,5.859967537258374
2006.11,3.8633,3.0283765775652585,5.779489864612163
2006.12,3.8056,2.8734521292660826,5.655520879774111
2007.01,3.831,2.908883826879271,5.705137751303053
2007.02,3.8998,2.9952380952380953,5.897172236503856
2007.03,3.9215,2.9652173913043476,5.821272173977585
2007.04,3.8668,2.9034389547980175,5.688143571638718
2007.05,3.781,2.779125321572951,5.538303793760071
2007.06,3.815,2.839386722238762,5.616488774383511
2007.07,3.7677,2.7898556090336912,5.5900593471810085
2007.08,3.803,2.783429700651394,5.637414764304773
2007.09,3.8162,2.784531192995257,5.629028689431373
2007.10,3.77,2.6489600899381673,5.406180540618054
2007.11,3.6453,2.527421479581225,5.26473136915078
2007.12,3.6133,2.447869385542985,5.056749002868939
2008.01,3.5935,2.4410705794443315,4.900115906456672
2008.02,3.5945,2.4141984015044664,4.795543993062504
2008.03,3.5305,2.327751038438716,4.61382645060115
2008.04,3.5107,2.2418263090676884,4.450684584178499
2008.05,3.4515,2.221042471042471,4.368157944694045
2008.06,3.3749,2.176231622388445,4.293765903307888
2008.07,3.3611,2.130649762282092,4.249715513971425
2008.08,3.223,2.0694747656350327,4.0908802437012115
2008.09,3.34,2.2843854729498667,4.115074231503727
